record_id,category,value,timestamp
1,B,354.92,2025-01-13T14:01:22
2,C,117.33,2024-12-30T02:11:37
3,A,196.02,2024-12-30T21:59:59
4,A,345.99,2024-12-18T00:15:15
5,D,226.6,2025-01-08T16:37:44
6,C,53.58,2024-12-22T22:15:36
7,D,164.24,2025-01-13T15:49:03
8,C,74.53,2024-12-19T15:56:48
9,D,292.26,2025-01-10T09:04:56
10,A,459.76,2025-01-04T03:54:28
11,A,89.93,2024-12-28T09:45:42
12,D,368.01,2024-12-22T20:43:37
13,D,273.74,2025-01-10T19:18:56
14,C,199.52,2025-01-06T07:50:47
15,A,54.09,2024-12-16T06:29:06
16,B,27.96,2024-12-17T22:46:08
17,B,32.18,2025-01-03T02:50:01
18,B,55.66,2024-12-24T03:36:43
19,C,137.02,2025-01-12T09:07:14
20,C,339.89,2025-01-07T06:54:11
21,C,470.26,2024-12-24T03:08:41
22,D,205.12,2024-12-28T01:25:43
23,B,162.71,2025-01-13T14:36:50
24,D,31.71,2024-12-26T03:37:56
25,A,210.73,2024-12-16T22:17:10
26,D,394.7,2025-01-06T16:35:20
27,B,12.03,2025-01-09T04:28:11
28,A,345.75,2025-01-10T17:58:56
29,C,167.17,2024-12-26T06:11:52
30,B,400.92,2025-01-03T04:41:50
31,A,391.3,2024-12-27T11:45:12
32,D,288.74,2025-01-08T17:02:17
33,C,366.09,2024-12-31T00:25:09
34,A,303.38,2024-12-28T17:24:28
35,C,68.07,2025-01-08T00:22:45
36,A,108.99,2024-12-31T09:33:17
37,B,192.41,2025-01-05T01:28:25
38,C,263.79,2024-12-24T15:04:51
39,B,165.92,2025-01-01T20:38:04
40,C,300.2,2024-12-31T19:58:44
41,C,40.33,2024-12-21T21:35:47
42,D,315.77,2024-12-30T04:15:50
43,C,35.13,2024-12-20T21:15:34
44,B,246.94,2024-12-31T00:49:25
45,C,340.79,2025-01-13T01:02:26
46,A,98.54,2024-12-18T20:48:19
47,B,202.61,2025-01-02T08:48:18
48,D,21.58,2025-01-03T14:52:51
49,B,321.72,2024-12-20T09:04:30
50,A,11.78,2024-12-24T00:03:59
51,D,173.44,2025-01-05T06:27:28
52,C,425.54,2025-01-02T17:04:54
53,B,384.33,2025-01-12T05:47:44
54,C,413.64,2024-12-20T08:58:42
55,A,174.13,2024-12-30T17:18:54
56,C,483.24,2025-01-14T07:45:27
57,A,460.34,2024-12-17T14:38:41
58,A,59.75,2024-12-25T00:17:22
59,B,200.94,2024-12-24T22:50:27
60,C,354.47,2025-01-11T18:48:29
61,B,448.24,2025-01-06T08:44:33
62,D,49.06,2024-12-26T22:13:05
63,A,319.85,2025-01-03T14:58:58
64,C,496.24,2025-01-04T16:50:51
65,B,193.04,2025-01-09T14:06:22
66,D,345.19,2024-12-31T01:28:51
67,D,303.13,2025-01-11T20:05:57
68,C,401.24,2025-01-01T10:49:05
69,D,72.97,2025-01-11T20:09:51
70,C,382.04,2024-12-18T13:29:46
71,D,455.39,2024-12-28T06:13:45
72,A,377.3,2024-12-27T17:02:07
73,A,434.74,2024-12-21T01:20:24
74,D,299.77,2024-12-22T00:43:41
75,C,459.64,2025-01-05T22:58:28
76,A,431.67,2025-01-01T09:33:27
77,D,490.52,2024-12-31T19:56:07
78,B,75.1,2024-12-30T02:34:13
79,A,94.53,2025-01-07T15:04:41
80,D,385.08,2024-12-18T06:01:18
81,A,118.43,2025-01-12T01:32:40
82,B,260.99,2024-12-24T03:17:22
83,B,491.81,2024-12-20T12:48:06
84,C,462.26,2025-01-10T11:56:55
85,B,148.66,2024-12-30T21:58:06
86,D,23.53,2024-12-24T07:11:17
87,C,460.15,2025-01-02T15:11:28
88,A,148.52,2024-12-24T06:54:31
89,A,91.52,2025-01-03T15:09:37
90,D,105.63,2024-12-31T16:01:24
91,C,492.6,2025-01-04T07:38:32
92,B,495.33,2024-12-28T18:08:18
93,C,384.16,2025-01-04T13:45:37
94,A,140.11,2024-12-30T12:20:48
95,A,110.06,2024-12-17T00:29:21
96,A,261.31,2024-12-25T17:44:18
97,A,300.24,2024-12-21T22:49:42
98,C,308.46,2024-12-17T13:52:42
99,B,305.4,2024-12-17T01:44:41
100,A,79.43,2025-01-05T08:19:35
101,D,264.88,2025-01-02T19:54:12
102,A,117.27,2025-01-13T02:14:03
103,D,147.65,2024-12-29T02:56:44
104,B,325.75,2025-01-05T03:39:21
105,B,311.88,2024-12-18T12:04:25
106,B,63.56,2025-01-03T17:43:21
107,B,449.37,2025-01-01T18:27:28
108,C,24.75,2024-12-29T20:34:02
109,C,395.7,2025-01-07T16:59:13
110,A,468.69,2025-01-14T10:46:49
111,A,427.21,2025-01-05T05:11:53
112,A,276.65,2024-12-26T09:43:10
113,C,118.24,2025-01-02T23:02:56
114,B,209.82,2024-12-31T20:15:57
115,D,43.09,2025-01-02T11:44:39
116,D,400.38,2025-01-03T17:28:36
117,A,409.26,2024-12-25T18:23:40
118,C,176.19,2024-12-25T21:36:45
119,D,376.02,2024-12-21T09:36:25
120,B,430.09,2025-01-01T18:03:51
121,D,130.85,2025-01-01T14:20:07
122,A,472.6,2024-12-16T06:05:42
123,A,135.2,2024-12-29T18:04:50
124,B,458.86,2025-01-05T09:30:03
125,C,168.98,2024-12-22T21:51:36
126,C,158.68,2025-01-07T23:05:53
127,D,292.81,2025-01-13T10:28:31
128,C,186.87,2025-01-02T02:48:37
129,A,106.1,2024-12-28T14:12:56
130,D,410.75,2024-12-26T23:17:42
131,B,215.95,2025-01-02T07:35:32
132,D,274.48,2024-12-17T11:35:13
133,B,403.31,2025-01-09T15:33:48
134,D,395.52,2024-12-22T17:56:06
135,D,384.99,2024-12-17T10:12:21
136,C,211.67,2025-01-01T22:03:39
137,C,377.23,2024-12-24T18:30:59
138,A,176.44,2025-01-07T17:32:58
139,B,405.15,2024-12-23T16:22:48
140,B,175.35,2025-01-06T01:05:34
141,D,120.32,2024-12-31T18:34:08
142,C,147.85,2025-01-11T07:49:43
143,A,59.26,2024-12-24T12:10:52
144,D,112.84,2024-12-25T06:27:23
145,D,57.75,2024-12-16T09:41:05
146,B,124.23,2025-01-10T13:53:38
147,A,284.42,2024-12-29T13:30:38
148,A,316.41,2024-12-28T18:51:52
149,B,450.99,2025-01-03T02:55:33
